"Expt","Date","DAP","Temp"
"Bardiya, Nepal 2016","2016-11-14",0,20.25
"Bardiya, Nepal 2016","2016-11-15",1,19.5
"Bardiya, Nepal 2016","2016-11-16",2,18.45
"Bardiya, Nepal 2016","2016-11-17",3,19.2
"Bardiya, Nepal 2016","2016-11-18",4,19.45
"Bardiya, Nepal 2016","2016-11-19",5,20.25
"Bardiya, Nepal 2016","2016-11-20",6,19.9
"Bardiya, Nepal 2016","2016-11-21",7,19.95
"Bardiya, Nepal 2016","2016-11-22",8,19.5
"Bardiya, Nepal 2016","2016-11-23",9,20.4
"Bardiya, Nepal 2016","2016-11-24",10,19.9
"Bardiya, Nepal 2016","2016-11-25",11,19
"Bardiya, Nepal 2016","2016-11-26",12,19.9
"Bardiya, Nepal 2016","2016-11-27",13,20.1
"Bardiya, Nepal 2016","2016-11-28",14,20.4
"Bardiya, Nepal 2016","2016-11-29",15,20.5
"Bardiya, Nepal 2016","2016-11-30",16,21.45
"Bardiya, Nepal 2016","2016-12-01",17,21
"Bardiya, Nepal 2016","2016-12-02",18,19.95
"Bardiya, Nepal 2016","2016-12-03",19,19
"Bardiya, Nepal 2016","2016-12-04",20,15.15
"Bardiya, Nepal 2016","2016-12-05",21,16.4
"Bardiya, Nepal 2016","2016-12-06",22,19.9
"Bardiya, Nepal 2016","2016-12-07",23,16.45
"Bardiya, Nepal 2016","2016-12-08",24,14.4
"Bardiya, Nepal 2016","2016-12-09",25,15.45
"Bardiya, Nepal 2016","2016-12-10",26,12.75
"Bardiya, Nepal 2016","2016-12-11",27,15.2
"Bardiya, Nepal 2016","2016-12-12",28,15.55
"Bardiya, Nepal 2016","2016-12-13",29,14.2
"Bardiya, Nepal 2016","2016-12-14",30,14.75
"Bardiya, Nepal 2016","2016-12-15",31,13.2
"Bardiya, Nepal 2016","2016-12-16",32,16.6
"Bardiya, Nepal 2016","2016-12-17",33,16.6
"Bardiya, Nepal 2016","2016-12-18",34,17.25
"Bardiya, Nepal 2016","2016-12-19",35,16.7
"Bardiya, Nepal 2016","2016-12-20",36,15.25
"Bardiya, Nepal 2016","2016-12-21",37,16.2
"Bardiya, Nepal 2016","2016-12-22",38,17.2
"Bardiya, Nepal 2016","2016-12-23",39,18.7
"Bardiya, Nepal 2016","2016-12-24",40,19
"Bardiya, Nepal 2016","2016-12-25",41,18.4
"Bardiya, Nepal 2016","2016-12-26",42,17.7
"Bardiya, Nepal 2016","2016-12-27",43,15.65
"Bardiya, Nepal 2016","2016-12-28",44,17.4
"Bardiya, Nepal 2016","2016-12-29",45,16.25
"Bardiya, Nepal 2016","2016-12-30",46,15
"Bardiya, Nepal 2016","2016-12-31",47,15.25
"Bardiya, Nepal 2016","2017-01-01",48,16.95
"Bardiya, Nepal 2016","2017-01-02",49,17.2
"Bardiya, Nepal 2016","2017-01-03",50,16.75
"Bardiya, Nepal 2016","2017-01-04",51,15.05
"Bardiya, Nepal 2016","2017-01-05",52,13.7
"Bardiya, Nepal 2016","2017-01-06",53,15.4
"Bardiya, Nepal 2016","2017-01-07",54,16.1
"Bardiya, Nepal 2016","2017-01-08",55,18
"Bardiya, Nepal 2016","2017-01-09",56,17.95
"Bardiya, Nepal 2016","2017-01-10",57,17.7
"Bardiya, Nepal 2016","2017-01-11",58,11
"Bardiya, Nepal 2016","2017-01-12",59,10.5
"Bardiya, Nepal 2016","2017-01-13",60,10.4
"Bardiya, Nepal 2016","2017-01-14",61,12
"Bardiya, Nepal 2016","2017-01-15",62,12.25
"Bardiya, Nepal 2016","2017-01-16",63,14.5
"Bardiya, Nepal 2016","2017-01-17",64,13.55
"Bardiya, Nepal 2016","2017-01-18",65,15.5
"Bardiya, Nepal 2016","2017-01-19",66,15.45
"Bardiya, Nepal 2016","2017-01-20",67,14.75
"Bardiya, Nepal 2016","2017-01-21",68,14.7
"Bardiya, Nepal 2016","2017-01-22",69,14.95
"Bardiya, Nepal 2016","2017-01-23",70,16.2
"Bardiya, Nepal 2016","2017-01-24",71,16.9
"Bardiya, Nepal 2016","2017-01-25",72,18.75
"Bardiya, Nepal 2016","2017-01-26",73,18.55
"Bardiya, Nepal 2016","2017-01-27",74,15.95
"Bardiya, Nepal 2016","2017-01-28",75,16.05
"Bardiya, Nepal 2016","2017-01-29",76,18.2
"Bardiya, Nepal 2016","2017-01-30",77,16.4
"Bardiya, Nepal 2016","2017-01-31",78,15.5
"Bardiya, Nepal 2016","2017-02-01",79,17.3
"Bardiya, Nepal 2016","2017-02-02",80,16.7
"Bardiya, Nepal 2016","2017-02-03",81,16.95
"Bardiya, Nepal 2016","2017-02-04",82,17.65
"Bardiya, Nepal 2016","2017-02-05",83,19.75
"Bardiya, Nepal 2016","2017-02-06",84,20.45
